"user_id","completed_courses_count"
"563","1"
"570","1"
"575","1"
"582","3"
"587","4"
"594","2"
"601","3"
"604","2"
"610","1"
"625","1"
"628","1"
"631","4"
"632","3"
"634","1"
"637","2"
"654","7"
"655","2"
"659","3"
"672","1"
"673","1"
"675","1"
"687","2"
"704","1"
"711","2"
"712","4"
"713","1"
"725","1"
"726","3"
"733","1"
"736","1"
"746","2"
"771","7"
"790","1"
"791","4"
"807","6"
"812","1"
"816","1"
"832","3"
"848","1"
"876","1"
"884","1"
"902","2"
"905","4"
"914","1"
"915","1"
"920","1"
"922","7"
"932","1"
"942","1"
"943","4"
"951","1"
"956","1"
"957","1"
"964","1"
"969","2"
"980","1"
"986","4"
"989","1"
"990","1"
"996","3"
"1019","5"
"1020","3"
"1022","2"
"1024","1"
"1027","1"
"1038","1"
"1040","2"
"1043","1"
"1047","1"
"1059","1"
"1062","1"
"1085","1"
"1089","1"
"1090","1"
"1104","2"
"1116","1"
"1121","1"
"1124","1"
"1128","1"
"1129","2"
"1134","1"
"1136","1"
"1138","1"
"1140","1"
"1146","4"
"1147","2"
"1151","1"
"1157","1"
"1160","2"
"1163","1"
"1171","2"
"1172","1"
"1174","2"
"1181","3"
"1185","3"
"1186","1"
"1188","3"
"1190","4"
"1191","1"
"1193","1"
"1195","2"
"1197","1"
"1199","3"
"1201","1"
"1209","3"
"1211","1"
"1216","1"
"1223","1"
"1225","1"
"1227","1"
"1230","1"
"1231","1"
"1240","2"
"1241","1"
"1243","2"
"1244","1"
"1247","1"
"1250","1"
"1252","3"
"1253","2"
"1257","3"
"1259","1"
"1260","1"
"1262","1"
"1269","1"
"1272","5"
"1273","1"
"1278","5"
"1279","3"
"1280","1"
"1289","1"
"1291","7"
"1298","1"
"1301","1"
"1302","1"
"1304","1"
"1305","8"
"1307","1"
"1309","4"
"1310","2"
"1312","3"
"1314","3"
"1319","3"
"1322","1"
"1330","3"
"1337","2"
"1340","1"
"1346","3"
"1347","2"
"1348","4"
"1350","2"
"1351","1"
"1354","1"
"1359","1"
"1361","1"
"1366","1"
"1368","1"
"1369","1"
"1371","3"
"1376","1"
"1377","4"
"1381","1"
"1388","3"
"1390","3"
"1393","1"
"1395","1"
"1396","1"
"1401","1"
"1410","2"
"1411","1"
"1412","2"
"1417","1"
"1418","1"
"1424","1"
"1426","1"
"1429","1"
"1432","1"
"1434","3"
"1435","3"
"1439","1"
"1447","1"
"1452","3"
"1453","1"
"1456","1"
"1459","3"
"1463","1"
"1471","1"
"1472","1"
"1474","1"
"1477","1"
"1480","1"
"1482","1"
"1484","1"
"1486","2"
"1489","2"
"1497","1"
"1506","1"
"1514","1"
"1524","4"
"1526","1"
"1528","3"
"1529","1"
"1532","1"
"1538","1"
"1539","1"
"1540","1"
"1550","1"
"1552","1"
"1564","1"
"1565","1"
"1566","2"
"1576","1"
"1577","1"
"1582","1"
"1583","5"
"1588","1"
"1590","2"
"1592","1"
"1594","6"
"1599","1"
"1600","1"
"1601","1"
"1602","4"
"1605","2"
"1606","1"
"1610","3"
"1612","7"
"1614","2"
"1620","1"
"1625","1"
"1628","2"
"1634","5"
"1638","1"
"1643","1"
"1644","1"
"1648","4"
"1649","1"
"1652","1"
"1654","1"
"1662","1"
"1670","1"
"1679","4"
"1695","1"
"1697","1"
"1701","1"
"1702","1"
"1707","1"
"1713","1"
"1718","1"
"1733","1"
"1739","5"
"1741","3"
"1753","1"
"1761","5"
"1763","1"
"1767","3"
"1770","1"
"1773","3"
"1775","2"
"1776","1"
"1781","3"
"1785","1"
"1786","2"
"1789","1"
"1790","1"
"1791","3"
"1797","1"
"1803","1"
"1809","1"
"1810","3"
"1818","1"
"1819","3"
"1822","1"
"1824","1"
"1826","2"
"1827","1"
"1832","1"
"1836","3"
"1847","1"
"1851","2"
"1852","1"
"1855","1"
"1858","1"
"1861","3"
"1862","6"
"1867","1"
"1869","2"
"1871","3"
"1873","6"
"1880","1"
"1881","1"
"1885","3"
"1887","1"
"1889","1"
"1897","1"
"1899","4"
"1903","5"
"1912","1"
"1917","2"
"1926","1"
"1927","7"
"1931","2"
"1934","2"
"1935","5"
"1940","1"
"1955","3"
"1965","4"
"1966","1"
"1970","1"
"1972","1"
"1976","1"
"1981","1"
"1983","1"
"1986","1"
"1987","1"
"1993","1"
"1995","1"
"1999","1"
"2000","1"
"2004","2"
"2005","1"
"2006","4"
"2021","3"
"2026","1"
"2030","1"
"2046","1"
"2051","1"
"2056","4"
"2057","5"
"2061","1"
"2063","3"
"2064","1"
"2067","3"
"2071","1"
"2074","1"
"2079","3"
"2082","1"
"2083","3"
"2084","1"
"2096","1"
"2100","1"
"2106","1"
"2131","1"
"2139","1"
"2143","1"
"2166","1"
"2179","1"
"2184","5"
"2186","1"
"2189","1"
"2191","2"
"2192","1"
"2194","2"
"2195","1"
"2196","1"
"2197","1"
"2199","3"
"2203","1"
"2267","1"
